10/10/2014 | 14:13:23 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5470
10/10/2014 | 14:13:23 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4690
10/10/2014 | 14:13:23 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5470
10/10/2014 | 14:13:23 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4665
10/10/2014 | 14:13:24 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5475
10/10/2014 | 14:13:24 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4665
10/10/2014 | 14:13:24 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5475
10/10/2014 | 14:13:25 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4630
10/10/2014 | 14:13:25 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5475
10/10/2014 | 14:13:25 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4630
10/10/2014 | 14:13:25 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5475
10/10/2014 | 14:13:26 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4625
10/10/2014 | 14:13:26 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5455
10/10/2014 | 14:13:26 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4625
10/10/2014 | 14:13:26 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5455
10/10/2014 | 14:13:27 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:13:27 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5460
10/10/2014 | 14:13:27 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:13:27 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5460
10/10/2014 | 14:13:28 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:13:29 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5440
10/10/2014 | 14:13:29 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4630
10/10/2014 | 14:13:29 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5465
10/10/2014 | 14:13:29 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4605
10/10/2014 | 14:13:30 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5460
10/10/2014 | 14:13:30 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4605
10/10/2014 | 14:13:30 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5460
10/10/2014 | 14:13:30 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4605
10/10/2014 | 14:13:31 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5460
10/10/2014 | 14:13:31 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
10/10/2014 | 14:13:31 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5460
10/10/2014 | 14:13:32 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4620
10/10/2014 | 14:13:32 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5460
10/10/2014 | 14:13:33 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4630
10/10/2014 | 14:13:33 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5445
10/10/2014 | 14:13:33 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4630
10/10/2014 | 14:13:33 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5445
10/10/2014 | 14:13:33 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4630
10/10/2014 | 14:13:34 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5445
10/10/2014 | 14:13:34 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4620
10/10/2014 | 14:13:34 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5465
10/10/2014 | 14:13:34 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4610
10/10/2014 | 14:13:35 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5450
10/10/2014 | 14:13:36 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4615
10/10/2014 | 14:13:36 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5450
10/10/2014 | 14:13:37 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:13:37 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5450
10/10/2014 | 14:13:38 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
10/10/2014 | 14:13:38 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5450
10/10/2014 | 14:13:39 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:13:39 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5455
10/10/2014 | 14:13:40 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:13:41 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5430
10/10/2014 | 14:13:42 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:13:43 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5440
10/10/2014 | 14:13:44 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4670
10/10/2014 | 14:13:44 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5445
10/10/2014 | 14:13:45 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4670
10/10/2014 | 14:13:45 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5435
10/10/2014 | 14:13:47 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4670
10/10/2014 | 14:13:47 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5430
10/10/2014 | 14:13:51 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4675
10/10/2014 | 14:13:51 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5410
10/10/2014 | 14:13:53 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4665
10/10/2014 | 14:13:53 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5435
10/10/2014 | 14:13:53 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4665
10/10/2014 | 14:13:53 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5435
10/10/2014 | 14:13:53 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:13:54 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5430
10/10/2014 | 14:13:55 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
10/10/2014 | 14:13:55 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5430
10/10/2014 | 14:13:56 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:13:57 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5405
10/10/2014 | 14:14:00 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4665
10/10/2014 | 14:14:00 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5410
10/10/2014 | 14:14:07 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
10/10/2014 | 14:14:07 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5410
10/10/2014 | 14:14:09 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4645
10/10/2014 | 14:14:09 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5455
10/10/2014 | 14:14:10 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:14:10 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5455
10/10/2014 | 14:14:11 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:14:11 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5430
10/10/2014 | 14:14:14 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4630
10/10/2014 | 14:14:14 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5425
10/10/2014 | 14:14:16 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4670
10/10/2014 | 14:14:17 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5430
10/10/2014 | 14:14:20 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4690
10/10/2014 | 14:14:20 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5420
10/10/2014 | 14:14:26 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4645
10/10/2014 | 14:14:26 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5395
10/10/2014 | 14:14:27 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:14:28 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5415
10/10/2014 | 14:14:29 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
10/10/2014 | 14:14:29 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5390
10/10/2014 | 14:14:30 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4620
10/10/2014 | 14:14:30 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5395
10/10/2014 | 14:14:32 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4620
10/10/2014 | 14:14:32 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5385
10/10/2014 | 14:14:34 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:14:34 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5385
10/10/2014 | 14:14:36 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:14:36 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5400
10/10/2014 | 14:14:39 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:14:39 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5385
10/10/2014 | 14:14:48 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4630
10/10/2014 | 14:14:48 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5390
10/10/2014 | 14:14:50 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4630
10/10/2014 | 14:14:50 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5405
10/10/2014 | 14:14:51 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4645
10/10/2014 | 14:14:51 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5400
10/10/2014 | 14:14:53 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:14:53 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5400
10/10/2014 | 14:14:54 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:14:55 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5385
10/10/2014 | 14:14:55 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:14:55 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5395
10/10/2014 | 14:14:56 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4660
10/10/2014 | 14:14:56 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5390
10/10/2014 | 14:14:57 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:14:57 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5400
10/10/2014 | 14:14:58 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4660
10/10/2014 | 14:14:58 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5400
10/10/2014 | 14:14:58 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4660
10/10/2014 | 14:14:58 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5390
10/10/2014 | 14:14:59 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4685
10/10/2014 | 14:14:59 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5390
10/10/2014 | 14:14:59 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4675
10/10/2014 | 14:15:00 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5410
10/10/2014 | 14:15:01 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4665
10/10/2014 | 14:15:01 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5405
10/10/2014 | 14:15:02 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4675
10/10/2014 | 14:15:03 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5405
10/10/2014 | 14:15:03 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:15:04 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5400
10/10/2014 | 14:15:04 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:15:05 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5410
10/10/2014 | 14:15:05 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4645
10/10/2014 | 14:15:05 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5420
10/10/2014 | 14:15:05 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
10/10/2014 | 14:15:06 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5420
10/10/2014 | 14:15:06 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
10/10/2014 | 14:15:07 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5430
10/10/2014 | 14:15:07 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:15:07 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5405
